time,light,pedometer
"11/7/2009 12:18:53",16.73,0
"11/7/2009 12:18:54",16.73,0
"11/7/2009 12:18:55",35.42,1
"11/7/2009 12:18:56",348.66,2
"11/7/2009 12:18:57",148.43,2
"11/7/2009 12:18:58",2.10,3
"11/7/2009 12:18:59",70.33,1
"11/7/2009 12:19:01",310.99,3
"11/7/2009 12:19:02",12.56,1
"11/7/2009 12:19:03",6.29,2
"11/7/2009 12:19:04",246.44,2
"11/7/2009 12:19:05",171.91,2
"11/7/2009 12:19:06",27.13,2
"11/7/2009 12:19:07",74.40,1
"11/7/2009 12:19:08",337.98,2
"11/7/2009 12:19:09",14.65,2
"11/7/2009 12:19:10",0.00,1
"11/7/2009 12:19:11",37.49,2
"11/7/2009 12:19:12",285.43,2
"11/7/2009 12:19:14",10.47,2
"11/7/2009 12:19:15",39.56,2
"11/7/2009 12:19:16",45.74,2
"11/7/2009 12:19:17",56.02,3
"11/7/2009 12:19:18",72.36,1
"11/7/2009 12:19:19",16.73,0
"11/7/2009 12:19:20",231.37,2
"11/7/2009 12:19:21",138.57,2
"11/7/2009 12:19:22",0.00,1
"11/7/2009 12:19:23",2.10,2
"11/7/2009 12:19:24",183.56,3
"11/7/2009 12:19:26",227.59,2
"11/7/2009 12:19:27",12.56,2
"11/7/2009 12:19:28",35.42,2
"11/7/2009 12:19:29",278.07,2
"11/7/2009 12:19:30",20.90,2
"11/7/2009 12:19:31",6.29,0
"11/7/2009 12:19:32",229.48,1
"11/7/2009 12:19:33",108.72,1
"11/7/2009 12:19:34",2.10,3
"11/7/2009 12:19:35",51.91,1
"11/7/2009 12:19:36",100.69,2
"11/7/2009 12:19:37",283.59,1
"11/7/2009 12:19:39",216.19,0
"11/7/2009 12:19:40",33.35,0
"11/7/2009 12:19:41",4.19,2
"11/7/2009 12:19:42",2.10,1
"11/7/2009 12:19:43",2.10,0
"11/7/2009 12:19:44",16.73,1
"11/7/2009 12:19:45",298.25,2
"11/7/2009 12:19:46",171.91,1
"11/7/2009 12:19:47",110.72,2
"11/7/2009 12:19:48",45.74,0
"11/7/2009 12:19:49",2.10,0
"11/7/2009 12:19:50",14.65,3
"11/7/2009 12:19:52",261.39,1
"11/7/2009 12:19:53",43.68,0
"11/7/2009 12:19:54",4.19,2
"11/7/2009 12:19:55",86.57,2
"11/7/2009 12:19:56",169.97,1
"11/7/2009 12:19:57",18.82,3
"11/7/2009 12:19:58",6.29,2
"11/7/2009 12:19:59",138.57,0
"11/7/2009 12:20:00",122.70,0
"11/7/2009 12:20:01",8.38,0
"11/7/2009 12:20:02",0.00,0
"11/7/2009 12:20:04",8.38,0
"11/7/2009 12:20:05",136.59,0
"11/7/2009 12:20:06",146.46,0
"11/7/2009 12:20:07",74.40,0
"11/7/2009 12:20:08",18.82,0
"11/7/2009 12:20:09",12.56,0
"11/7/2009 12:20:10",20.90,0
"11/7/2009 12:20:11",27.13,0
"11/7/2009 12:20:12",20.90,1
"11/7/2009 12:20:13",16.73,2
"11/7/2009 12:20:14",8.38,1
"11/7/2009 12:20:15",110.72,2
"11/7/2009 12:20:16",195.13,1
"11/7/2009 12:20:18",14.65,0
"11/7/2009 12:20:19",2.10,0
"11/7/2009 12:20:20",20.90,1
"11/7/2009 12:20:21",301.90,0
"11/7/2009 12:20:22",177.74,0
"11/7/2009 12:20:23",27.13,0
"11/7/2009 12:20:24",18.82,0
"11/7/2009 12:20:25",33.35,0
"11/7/2009 12:20:26",136.59,0
"11/7/2009 12:20:27",329.03,0
"11/7/2009 12:20:28",312.80,0
"11/7/2009 12:20:30",96.66,0
"11/7/2009 12:20:31",8.38,0
"11/7/2009 12:20:32",4.19,1
"11/7/2009 12:20:33",14.65,0
"11/7/2009 12:20:34",142.52,0
"11/7/2009 12:20:35",303.72,3
"11/7/2009 12:20:36",140.55,1
"11/7/2009 12:20:37",110.72,3
"11/7/2009 12:20:38",72.36,0
