time,latitude,longitude,acceleration,light,temperature,sound,altitude
06/28/2010 13:30:38,42.65503,-71.32678,0.90,1073.93,29.59,29,65524
06/28/2010 13:30:39,42.65503,-71.32678,0.90,1073.93,29.59,30,65524
06/28/2010 13:30:40,42.65503,-71.32678,0.90,1075.40,29.59,28,65525
06/28/2010 13:30:41,42.65503,-71.32678,0.78,1076.13,29.59,33,65525
06/28/2010 13:30:42,42.65503,-71.32678,0.90,1076.13,29.59,33,65524
06/28/2010 13:30:43,42.65503,-71.32678,1.13,1076.13,29.59,29,65525
06/28/2010 13:30:44,42.655052,-71.32677,0.78,1080.47,29.59,23,65526
06/28/2010 13:30:45,42.655052,-71.32677,0.66,1079.03,29.59,19,65525
06/28/2010 13:30:46,42.65507,-71.32674,0.94,1081.19,29.91,21,65527
06/28/2010 13:30:47,42.655087,-71.32674,0.86,1079.75,29.91,33,65527
06/28/2010 13:30:48,42.655087,-71.32671,0.74,1079.03,29.91,39,65528
06/28/2010 13:30:49,42.655087,-71.3267,0.82,1080.47,29.91,11,65528
06/28/2010 13:30:50,42.6551,-71.3267,1.13,1079.75,29.91,24,65527
06/28/2010 13:30:51,42.655117,-71.3267,0.74,1078.31,29.91,44,65527
06/28/2010 13:30:53,42.655117,-71.32668,0.86,1078.31,29.91,33,65527
06/28/2010 13:30:54,,,1.25,1077.58,29.91,43, 
06/28/2010 13:30:55,42.655136,-71.32667,0.90,1077.58,29.91,45,65528
06/28/2010 13:30:56,42.655136,-71.32665,1.17,1080.47,29.91,34,65530
06/28/2010 13:30:57,42.655136,-71.32664,0.90,1077.58,29.91,44,65533
06/28/2010 13:30:58,42.655117,-71.32662,0.98,1076.86,30.23,35,65535
06/28/2010 13:30:59,42.6551,-71.32657,1.02,1079.03,30.23,40,3
06/28/2010 13:31:00,42.6551,-71.326546,1.52,1080.47,30.23,46,5
06/28/2010 13:31:01,42.655087,-71.32653,1.25,1080.47,30.23,24,10
06/28/2010 13:31:02,42.65507,-71.326485,1.09,1080.47,30.23,42,17
06/28/2010 13:31:03,42.655014,-71.326385,1.05,1078.31,30.23,36,31
06/28/2010 13:31:04,42.65498,-71.32633,0.90,1079.75,30.23,34,38
06/28/2010 13:31:05,42.65495,-71.32627,0.74,1080.47,30.23,35,46
06/28/2010 13:31:06,42.654915,-71.32622,0.78,1080.47,30.23,30,53
06/28/2010 13:31:07,42.6549,-71.326164,0.78,1079.75,30.56,31,59
06/28/2010 13:31:09,42.654884,-71.32613,0.90,1076.86,30.23,48,62
06/28/2010 13:31:10,42.654865,-71.326096,1.02,1076.86,30.56,46,66
06/28/2010 13:31:11,42.654865,-71.326065,1.17,1077.58,30.56,30,70
06/28/2010 13:31:12,42.654835,-71.32602,1.52,1076.86,30.56,37,77
06/28/2010 13:31:13,42.6548,-71.325966,1.41,1076.86,30.56,30,84
06/28/2010 13:31:14,,,1.37,1076.86,30.56,44, 
06/28/2010 13:31:15,,,1.02,1077.58,30.56,40, 
