Time,Latitude,Longitude,Acceleration,Light,Temperature,Sound,Temperature Probe,Altitude
1277738401,,,0.94,156.29,25.08,0,50.971245506248393782383419689119171, 
1277738402,,,0.98,216.19,25.08,5,51.956788896888888888888888888888889, 
1277738403,,,0.98,76.43,25.08,0,52.594359216721860465116279069767442, 
1277738404,,,0.98,173.86,25.08,7,52.352085183928571428571428571428571, 
1277738405,,,0.98,223.80,25.08,0,52.192742274778870056497175141242938, 
1277738406,,,0.98,259.52,25.08,1,52.113692616673258426966292134831461, 
1277738407,,,0.98,272.52,25.08,0,52.035044618974189944134078212290503, 
1277738408,,,0.98,255.79,25.08,7,51.956788896888888888888888888888889, 
1277738409,,,0.98,187.42,25.08,0,51.878916273023314917127071823204420, 
1277738410,,,0.98,100.69,25.08,1,51.801417771684395604395604395604396, 
1277738411,,,0.98,130.65,25.08,0,51.724284613369071038251366120218579, 
1277738412,,,0.98,263.25,25.08,1,51.571080156932432432432432432432432, 
1277738413,,,0.98,250.19,25.08,4,51.494992233631827956989247311827957, 
1277738414,,,0.98,146.46,25.08,1,51.647508209433043478260869565217391, 
1277738415,,,0.98,177.74,25.08,1,51.647508209433043478260869565217391, 
1277738416,,,0.98,364.56,25.08,0,51.571080156932432432432432432432432, 
1277738417,,,0.98,368.08,25.08,0,51.571080156932432432432432432432432, 
1277738418,,,0.98,373.33,25.08,1,51.494992233631827956989247311827957, 
1277738419,,,0.98,371.58,25.08,4,51.419236393172513368983957219251337, 
1277738420,,,0.98,359.28,25.08,0,51.268689626809417989417989417989418, 
1277738421,,,0.98,361.04,25.08,0,51.193883446210526315789473684210526, 
1277738422,,,0.98,361.04,25.08,2,51.045168545213333333333333333333333, 
1277738423,,,0.98,361.04,25.08,7,51.045168545213333333333333333333333, 
1277738424,,,0.98,362.80,25.08,1,50.971245506248393782383419689119171, 
1277738425,,,0.98,366.32,25.08,0,50.824233556397435897435897435897436, 
1277738426,,,0.98,361.04,25.08,0,50.751131192352653061224489795918367, 
1277738427,,,0.98,376.83,25.08,0,50.678289161089644670050761421319797, 
1277738428,,,0.98,376.83,25.08,1,50.605701072306262626262626262626263, 
1277738429,,,0.98,378.57,25.08,0,50.533360664148643216080402010050251, 
1277738430,,,0.98,376.83,25.08,0,50.389398465365273631840796019900498, 
1277738431,,,0.98,378.57,25.08,0,50.317764764848316831683168316831683, 
1277738432,,,0.98,380.32,25.08,5,50.246354919218423645320197044334975, 
1277738433,,,0.98,375.08,25.08,3,50.175163262563137254901960784313725, 
1277738434,,,0.98,375.08,25.08,5,50.104184239524390243902439024390244, 
1277738435,,,0.98,378.57,25.08,0,50.033412402615145631067961165048544, 
1277738436,,,0.98,371.58,25.08,8,49.962842409613816425120772946859903, 
1277738437,,,0.98,369.83,25.08,1,49.892469021033846153846153846153846, 
1277738438,,,0.98,369.83,25.08,0,49.752291598190476190476190476190476, 
1277738439,,,0.98,361.04,25.08,0,49.682477576857914691943127962085308, 
1277738440,,,0.98,357.51,25.08,0,49.612840181234716981132075471698113, 
1277738441,,,0.98,357.51,25.08,1,49.543374650012863849765258215962441, 
1277738442,,,0.98,361.04,24.76,0,49.404940578453488372093023255813953, 
1277738443,,,0.98,348.66,25.08,0,49.335962952260740740740740740740741, 
1277738444,,,0.98,346.88,24.76,0,49.335962952260740740740740740740741, 
1277738445,,,0.98,350.43,24.76,3,49.267139014790138248847926267281106, 
1277738446,,,0.98,361.04,24.76,6,49.198464429584587155963302752293578, 
1277738447,,,0.98,334.40,24.76,0,49.061546364363636363636363636363636, 
1277738448,,,0.98,355.75,25.08,0,49.061546364363636363636363636363636, 
1277738449,,,0.98,352.21,24.76,3,48.993294600305972850678733031674208, 
1277738450,,,0.98,353.98,24.76,5,48.857185456413183856502242152466368, 
1277738451,,,0.98,350.43,25.08,0,48.789320231348571428571428571428571, 
1277738452,,,0.98,348.66,24.76,0,48.721576123611111111111111111111111, 
1277738453,,,0.98,343.33,24.76,1,48.721576123611111111111111111111111, 
1277738454,,,0.98,327.23,24.76,0,48.653949382610265486725663716814159, 
1277738455,,,0.98,329.03,24.76,0,48.519033327455438596491228070175439, 
1277738456,,,0.98,329.03,24.76,3,48.451736836809519650655021834061135, 
1277738457,,,0.98,268.82,24.76,6,48.384543357130434782608695652173913, 
