Time,Latitude,Longitude,Accel,Light,Temp,Sound,External,Pedometer,Altitude
Dec 27 2009 24:08:29,36.287003,-109.22145,0.62,0.00,9.61,0,22.48475,2,2148
Dec 27 2009 24:08:30,36.287003,-109.22145,0.98,2.10,9.61,0,22.25985,3,2148
Dec 27 2009 24:08:32,36.28709,-109.22145,0.70,0.00,9.29,0,22.03495,2,2150
Dec 27 2009 24:08:33,36.28713,-109.221405,0.86,0.00,9.29,0,21.81005,2,2151
Dec 27 2009 24:08:34,36.287174,-109.221405,0.82,4.19,9.61,0,21.58515,3,2151
Dec 27 2009 24:08:35,36.287216,-109.221275,0.66,6.29,9.61,0,21.36025,2,2152
Dec 27 2009 24:08:37,36.28726,-109.221275,0.90,4.19,9.61,0,21.2478,3,2153
Dec 27 2009 24:08:38,36.2873,-109.22122,0.59,6.29,9.61,0,21.0229,3,2153
Dec 27 2009 24:08:40,36.287346,-109.221275,1.02,4.19,9.61,0,20.91045,3,2153
Dec 27 2009 24:08:41,36.287388,-109.221275,0.62,6.29,9.61,0,20.68555,2,2153
Dec 27 2009 24:08:43,36.28743,-109.22132,0.98,6.29,9.61,0,20.5731,3,2154
Dec 27 2009 24:08:44,36.28747,-109.22132,0.59,4.19,9.29,0,20.3482,2,2154
Dec 27 2009 24:08:46,36.287518,-109.22135,1.29,0.00,9.61,0,20.1233,3,2154
Dec 27 2009 24:08:47,36.287518,-109.221405,0.55,0.00,9.61,0,20.01085,2,2154
Dec 27 2009 24:08:49,36.287556,-109.22145,1.05,0.00,9.29,0,19.8984,3,2154
Dec 27 2009 24:08:50,36.2876,-109.22145,0.74,0.00,9.29,0,19.78595,2,2153
Dec 27 2009 24:08:51,36.287643,-109.22145,1.05,0.00,9.61,0,19.6735,3,2153
Dec 27 2009 24:08:52,36.287685,-109.22145,0.70,0.00,9.61,0,19.56105,2,2153
Dec 27 2009 24:08:54,36.287685,-109.22148,0.90,0.00,9.29,0,19.4486,3,2153
Dec 27 2009 24:08:55,36.287773,-109.22148,0.94,0.00,9.29,0,19.33615,2,2153
Dec 27 2009 24:08:57,36.287773,-109.22148,0.98,0.00,9.29,0,19.11125,2,2153
Dec 27 2009 24:08:58,36.287815,-109.22148,1.64,0.00,9.61,0,18.9988,3,2153
Dec 27 2009 24:08:00,36.287815,-109.22145,1.09,0.00,9.29,0,18.7739,1,2154
Dec 27 2009 24:08:01,36.2879,-109.221405,1.45,0.00,9.29,0,18.66145,0,2152
Dec 27 2009 24:08:03,36.287945,-109.221405,0.70,0.00,8.96,0,18.5490,3,2152
Dec 27 2009 24:08:04,36.28803,-109.22148,1.64,0.00,9.29,0,18.3241,0,2152
Dec 27 2009 24:08:05,36.28803,-109.221535,0.78,0.00,9.29,0,18.3241,2,2154
Dec 27 2009 24:08:06,36.28803,-109.22161,1.68,0.00,9.29,0,18.21165,3,2153
Dec 27 2009 24:08:08,36.28803,-109.22161,0.82,0.00,9.61,0,18.0992,2,2153
Dec 27 2009 24:08:09,36.287983,-109.221664,1.56,0.00,8.96,0,17.98675,2,2155
Dec 27 2009 24:08:11,36.287983,-109.221695,0.90,0.00,9.29,0,17.8743,2,2155
Dec 27 2009 24:08:12,36.287983,-109.22175,1.37,0.00,9.29,0,17.8743,0,2155
Dec 27 2009 24:08:14,36.28803,-109.22188,1.52,0.00,9.29,0,17.76185,0,2154
Dec 27 2009 24:08:15,36.28803,-109.22191,0.90,0.00,8.96,0,17.6494,0,2154
Dec 27 2009 24:08:17,36.28803,-109.22191,1.33,0.00,8.96,0,17.53695,0,2155
Dec 27 2009 24:08:18,36.28803,-109.22201,1.41,0.00,8.96,0,17.53695,2,2154
Dec 27 2009 24:08:19,36.287983,-109.22201,1.02,0.00,8.96,0,17.4245,0,2154
Dec 27 2009 24:08:21,36.287945,-109.221954,1.41,0.00,8.96,0,17.31205,0,2153
Dec 27 2009 24:08:22,36.2879,-109.221954,0.90,0.00,8.96,0,17.31205,0,2153
Dec 27 2009 24:08:23,36.287815,-109.22201,1.52,0.00,8.96,0,17.1996,0,2153
Dec 27 2009 24:08:25,36.287773,-109.221954,0.74,0.00,8.96,0,17.1996,0,2153
Dec 27 2009 24:08:26,36.287727,-109.22201,1.45,0.00,8.96,0,17.08715,0,2154
Dec 27 2009 24:08:28,36.287685,-109.22201,0.98,0.00,8.96,0,17.08715,0,2154
Dec 27 2009 24:08:29,36.287643,-109.221954,1.05,0.00,8.64,0,16.9747,0,2153
Dec 27 2009 24:08:31,36.287643,-109.221954,1.64,0.00,8.64,1,16.9747,0,2153
Dec 27 2009 24:08:32,36.2876,-109.22191,0.78,0.00,8.64,0,16.86225,0,2153
